[36, 2, 4, 13, 4, 43, 56, 22, 7, 28]
[87, 91, 63, 43, 5, 28, 62, 67, 64, 39]
[80, 13, 32, 74, 21, 24, 93, 16, 48, 55]
[21, 12, 47, 19, 93, 13, 85, 32, 53, 21]
[77, 44, 7, 51, 61, 72, 99, 70, 49, 85]
[6, 3, 49, 21, 58, 46, 43, 66, 26, 7]
[82, 59, 18, 51, 35, 49, 81, 59, 12, 29]
[52, 54, 81, 78, 75, 87, 24, 99, 61, 22]
[38, 57, 3, 38, 69, 23, 57, 5, 86, 49]
[73, 53, 60, 56, 13, 59, 83, 80, 23, 98]
[70, 37, 49, 94, 46, 32, 69, 90, 44, 31]
[61, 92, 29, 9, 65, 35, 87, 53, 2, 0]
[49, 79, 11, 59, 29, 99, 15, 3, 16, 41]
[99, 43, 46, 32, 8, 70, 26, 96, 43, 19]
[52, 38, 18, 98, 56, 35, 10, 23, 69, 27]
